"id","name","name_en","name_wf","description","world_green","world_blue","world_grey","world_total","country_green","country_blue","country_grey","country_total","type"
142,"Winogrona","Grapes","Grapes, fresh","Grapes",424.892561523302,96.6244908738438,86.6991168796036,608.216169276749,NA,NA,NA,NA,"crops"
143,"Wisnie","Cherries","Sour cherries","Sour cherries",1098.33486330574,213.46741859111,98.7781058315819,1410.58038772843,1137.98790170921,4.84996530576961,NA,1142.83786701498,"crops"
144,"Ziemniaki","Potatoes","Potatoes, fresh or chilled nes","Potatoes",190.918057427309,32.9429715158364,63.3275059515362,287.188534894682,176.473737463205,1.71290563345033,74.5046555846788,252.691298681334,"crops"
145,"Kapusta pekinska","Chinese cabbage","Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled","Cabbages and other brassicas",181.116655419346,26.3655721132115,72.852487781248,280.334715313805,80.106027633478,1.14481744627708,NA,81.2508450797551,"crops"
146,"Maslo","Butter","Butter","butter",4694.70005807842,465.44724904672,393.325251816683,5553.47255894182,4097.23694272352,175.93828391741,529.21281797558,4802.38804461651,"animals"
147,"Kielbaski wieprzowe","Pork sausages","Hams and cuts thereof of swine prepared or preserved","Pork,prepred,presrvd,nes",5286.65515769591,500.222695738885,669.984545765359,6456.86239920015,4892.19547376176,291.752296118953,828.972636557823,6012.92040643854,"animals"
148,"Groch luskany","Shelled peas","Peas, shelled or unshelled, fresh or chilled","Peas, green",382.006458828047,62.6019885664429,150.47514612137,595.08359351586,493.875306397656,1.66566862704866,NA,495.540975024705,"crops"
149,"Platki orkiszowe","Spelt flakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,"Chleb zwykly (pszenno-zytni)","Bread (wheat-rye)","Wheat bread","Wheat",1123.8222851223,301.327361468438,182.511146298736,1607.66079288947,904.779776347046,0.453299312505082,427.44365077562,1332.67672643517,"crops"
151,"Kielki","Sprouts","Brussels sprouts, fresh or chilled","Cauliflowers and broccoli",189.286722452254,21.1488561439903,74.6714153070404,285.106993903285,151.895148347556,0.450905944029904,NA,152.346054291586,"crops"
