Group Ordering,Lead Author,Year Published,Food Item,GHG (g CO2 equiv/g protein),LU (m^2/g protein),EU (kj/g protein),Acidification Potential (g SO2 equiv/g protein),Eutrophication Potential (g PO4 equiv/g protein),GHG (g CO2 equiv/serving),LU (m^2/serving),EU (kj/serving),Acidification Potential (g SO2 equiv/serving),Eutrophication Potential (g PO4 equiv/serving),GHG (g CO2 equiv/gram),LU (m^2/kg),EU (kj/gram),Acidification Potential (g SO2 equiv/gram),Eutrophication Potential (g PO4 equiv/gram)
Pork,Williams,2006,Pork,6.42E+01,7.30E-02,1.67E+02,5.07E+00,1.19E+00,3.40E+02,3.87E-01,8.86E+02,2.69E+01,6.31E+00,1.22E+01,1.38E-02,3.16E+01,9.60E-01,2.25E-01
Poultry,Bengtsson,2013,Poultry,3.30E+01,,,,,1.71E+02,,,,,6.11E+00,,,,
Poultry,Cederberg,2009,Poultry,1.70E+01,,,,,8.84E+01,,,,,3.16E+00,,,,
Poultry,Cederberg,2009,Poultry,2.23E+01,,,,,1.16E+02,,,,,4.15E+00,,,,
Poultry,Gonzalez Garcia,2014,Poultry,1.21E+01,,8.33E+01,2.33E-01,1.09E-01,6.30E+01,,4.34E+02,1.21E+00,5.69E-01,2.25E+00,,1.55E+01,4.33E-02,2.03E-02
Poultry,Leinonen,2012,Poultry,2.37E+01,3.01E-02,1.36E+02,2.51E-01,1.09E-01,1.23E+02,1.57E-01,7.10E+02,1.31E+00,5.69E-01,4.41E+00,5.60E-03,2.54E+01,4.68E-02,2.03E-02
Poultry,Leinonen,2012,Poultry,2.76E+01,3.87E-02,1.38E+02,3.21E-01,1.30E-01,1.44E+02,2.02E-01,7.18E+02,1.67E+00,6.79E-01,5.13E+00,7.20E-03,2.57E+01,5.97E-02,2.43E-02
Poultry,Leinonen,2012,Poultry,3.04E+01,1.34E-01,2.17E+02,4.92E-01,2.63E-01,1.58E+02,7.00E-01,1.13E+03,2.56E+00,1.37E+00,5.66E+00,2.50E-02,4.03E+01,9.16E-02,4.88E-02
Poultry,Leinonen,2013,Poultry,3.13E+01,,,,,1.63E+02,,,,,5.81E+00,,,,
Poultry,Leinonen,2013,Poultry,3.17E+01,,,,,1.65E+02,,,,,5.88E+00,,,,
Poultry,Leinonen,2013,Poultry,3.20E+01,,,,,1.66E+02,,,,,5.93E+00,,,,
Poultry,Leinonen,2013,Poultry,3.21E+01,,,,,1.67E+02,,,,,5.95E+00,,,,
Poultry,Leinonen,2013,Poultry,3.21E+01,,,,,1.67E+02,,,,,5.95E+00,,,,
Poultry,Leinonen,2013,Poultry,3.31E+01,,,,,1.72E+02,,,,,6.15E+00,,,,
Poultry,Leinonen,2013,Poultry,3.40E+01,,,,,1.77E+02,,,,,6.31E+00,,,,
Poultry,Leinonen,2013,Poultry,3.45E+01,,,,1.78E-01,1.79E+02,,,,9.26E-01,6.40E+00,,,,3.31E-02
Poultry,Leinonen,2013,Poultry,3.58E+01,,,,1.80E-01,1.86E+02,,,,9.35E-01,6.64E+00,,,,3.34E-02
Poultry,Leinonen,2013,Poultry,3.60E+01,,,,1.80E-01,1.87E+02,,,,9.35E-01,6.68E+00,,,,3.34E-02
Poultry,Leinonen,2013,Poultry,3.64E+01,,,,,1.89E+02,,,,,6.74E+00,,,,
Poultry,Leinonen,2013,Poultry,3.66E+01,,,,,1.90E+02,,,,,6.79E+00,,,,
Poultry,Leinonen,2013,Poultry,3.67E+01,,,,,1.91E+02,,,,,6.81E+00,,,,
Poultry,Leinonen,2013,Poultry,3.70E+01,,,,,1.92E+02,,,,,6.86E+00,,,,
Poultry,Leinonen,2013,Poultry,3.71E+01,,,,,1.93E+02,,,,,6.88E+00,,,,
Poultry,Leinonen,2013,Poultry,3.73E+01,,,,,1.94E+02,,,,,6.93E+00,,,,
Poultry,Leinonen,2013,Poultry,3.75E+01,,,,1.82E-01,1.95E+02,,,,9.44E-01,6.96E+00,,,,3.37E-02
Poultry,Leinonen,2013,Poultry,3.75E+01,,,,,1.95E+02,,,,,6.96E+00,,,,
Poultry,Leinonen,2013,Poultry,3.90E+01,,,,1.85E-01,2.03E+02,,,,9.58E-01,7.24E+00,,,,3.42E-02
Poultry,Leinonen,2013,Poultry,3.93E+01,,,,1.84E-01,2.04E+02,,,,9.54E-01,7.29E+00,,,,3.41E-02
Poultry,Leinonen,2013,Poultry,3.93E+01,,,,1.86E-01,2.04E+02,,,,9.67E-01,7.29E+00,,,,3.46E-02
Poultry,Pelletier,2008,Poultry,1.76E+01,,,1.99E-01,3.49E-02,9.14E+01,,,1.04E+00,2.67E+00,3.26E+00,,,3.70E-02,9.54E-02
Poultry,Thevenot,2013,Poultry,2.00E+01,,2.47E+02,,2.46E-01,1.04E+02,,1.28E+03,,,3.71E+00,,4.58E+01,,
Poultry,Vergé,2009,Poultry,1.30E+01,,,,,6.75E+01,,,,,2.41E+00,,,,
Poultry,Vergé,2009,Poultry,1.34E+01,,,,,6.94E+01,,,,,2.48E+00,,,,
Poultry,Vergé,2009,Poultry,1.71E+01,,,,,9.43E+01,,,,,3.37E+00,,,,
Poultry,Williams,2006,Poultry,4.08E+01,5.72E-02,1.07E+02,1.55E+00,4.38E-01,2.13E+02,2.98E-01,5.58E+02,8.05E+00,2.28E+00,7.59E+00,1.06E-02,1.99E+01,2.87E-01,8.14E-02
Poultry,Williams,2006,Poultry,4.89E+01,6.52E-02,1.29E+02,2.05E+00,5.63E-01,2.55E+02,3.40E-01,6.74E+02,1.07E+01,2.93E+00,9.10E+00,1.21E-02,2.41E+01,3.82E-01,1.05E-01
Poultry,Williams,2006,Poultry,5.97E+01,1.25E-01,1.41E+02,2.36E+00,7.68E-01,3.11E+02,6.51E-01,7.35E+02,1.23E+01,4.00E+00,1.11E+01,2.33E-02,2.62E+01,4.39E-01,1.43E-01
Recirculating Aquaculture,Ayer,2009,char,2.85E+02,,,,2.03E-01,1.58E+03,,,,1.00E-03,5.66E+01,,,,3.57E-05
Rice,Aguilera,2015,Rice,2.21E+01,1.68E-02,,,,4.91E+01,3.70E-02,,,,1.75E+00,1.32E-03,,,
Rice,Aguilera,2015,Rice,3.62E+01,2.44E-02,,,,8.04E+01,5.40E-02,,,,2.87E+00,1.93E-03,,,
Rice,Blengini,2009,Rice,1.26E+01,1.79E-02,1.87E+02,,,2.80E+01,4.00E-02,4.17E+02,,,9.99E-01,1.43E-03,1.49E+01,,
Rice,Blengini,2009,Rice,3.10E+01,1.79E-02,1.34E+02,,,6.89E+01,4.00E-02,2.98E+02,,,2.46E+00,1.43E-03,1.06E+01,,
